#{"t_start": 1713296370.8827949, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
235.0,3065,2687.731983
600.0,5031,2692.583383
525.0,4115,2696.538566
495.0,4153,2700.534853
495.0,4219,2704.675278
440.0,2455,2707.077803
335.0,3357,2710.348199
415.0,2412,2712.735456
610.0,5139,2717.68104
580.0,4288,2721.713418
665.0,3647,2725.249322
665.0,3437,2728.524764
520.0,3073,2731.473542
280.0,2559,2734.037108
470.0,4407,2738.334064
525.0,4047,2742.142008
860.0,5493,2747.511127
475.0,3435,2750.790931
365.0,2881,2753.570497
250.0,2759,2756.233022
450.0,4175,2760.20673
1485.0,7161,2767.339497
550.0,4693,2771.81484
445.0,3377,2786.107512
755.0,4052,2789.942804
425.0,3805,2793.579152
430.0,3702,2797.213078
790.0,4465,2801.442104
425.0,3802,2805.098861
605.0,3651,2808.646896
450.0,2641,2811.171261
370.0,3523,2814.603483
410.0,2736,2817.242976
405.0,3131,2820.211273
805.0,4343,2824.488682
575.0,4582,2829.019956
460.0,4141,2832.964596
740.0,6127,2838.826863
270.0,2319,2841.030719
1130.0,5341,2846.191964
600.0,4571,2850.559381
425.0,3747,2854.140428
1235.0,8997,2862.801376
480.0,3617,2866.336948
325.0,2953,2869.181797
415.0,2971,2872.056588
925.0,3521,2875.489439
545.0,4221,2879.53426
600.0,4273,2894.953165
400.0,3031,2897.845422
340.0,2586,2900.387202
675.0,2989,2903.3842
385.0,3229,2906.540164
600.0,4273,2910.665332
465.0,3441,2914.105388
445.0,4081,2918.047929
445.0,3569,2921.496756
485.0,3957,2925.334105
480.0,3673,2928.906608
520.0,4857,2933.710594
685.0,3279,2936.811711
480.0,4375,2941.109061
340.0,3075,2944.272012
750.0,4095,2948.551449
545.0,4279,2952.873067
805.0,3895,2956.572377
295.0,2550,2959.053814
455.0,3341,2962.251729
335.0,2589,2964.811215
545.0,3575,2968.565247
680.0,3789,2972.238042
480.0,3913,2976.238233
685.0,4027,2980.306967
410.0,3797,2984.237699
420.0,3415,2987.775559
855.0,3499,2991.605268
585.0,3209,3008.349794
745.0,4313,3012.69961
495.0,4131,3016.882168
345.0,2567,3019.479951
545.0,3991,3023.857244
715.0,4095,3027.871842
470.0,3849,3031.874571
370.0,3220,3035.487969
525.0,4025,3039.552743
390.0,3423,3043.029017
1010.0,5125,3048.118876
725.0,4016,3052.14496
370.0,3662,3055.83499
800.0,4079,3060.095201
450.0,4177,3064.370953
655.0,3475,3068.058819
470.0,4085,3072.048245
750.0,4810,3076.881044
390.0,2407,3079.405254
1425.0,6713,3086.022821
695.0,5573,3091.656506
555.0,4162,3096.052049
515.0,3190,3099.168423
750.0,4885,3104.140395
525.0,4613,3108.786996
720.0,3549,3127.519238
600.0,4585,3137.538006
605.0,4361,3146.647545
455.0,3169,3153.49051
305.0,2743,3158.564267
1330.0,7617,3173.466199
600.0,5331,3181.258774
890.0,5949,3191.829543
505.0,3521,3197.259807
535.0,3888,3204.979763
445.0,4089,3211.976506
700.0,3641,3220.472566
410.0,2961,3227.110849
1435.0,8041,3243.755739
420.0,3513,3251.623054
215.0,2476,3256.522969
515.0,3751,3265.532106
320.0,2475,3270.813341
180.0,1673,3274.823438
750.0,3920,3279.155378
435.0,2881,3282.340257
455.0,4453,3288.826211
1220.0,6265,3300.431134
385.0,2681,3305.559062
465.0,3489,3333.714729
570.0,5462,3343.948578
600.0,3308,3347.217928
990.0,7537,3354.627627
805.0,4033,3358.502937
515.0,3698,3362.106344
125.0,1707,3363.763342
770.0,3209,3366.982794
600.0,3345,3370.294638
805.0,4369,3374.519928
605.0,3803,3378.231482
540.0,4411,3382.589006
485.0,3505,3386.091486
515.0,3399,3389.458544
280.0,2381,3391.813148
545.0,3932,3395.726028
455.0,3313,3398.968583
780.0,3313,3402.223248
525.0,3849,3405.988105
525.0,3609,3409.538516
340.0,2549,3412.065321
1285.0,6681,3418.645531
565.0,3551,3422.161471
710.0,4955,3427.330389
400.0,3303,3430.554817
370.0,2753,3433.291968
510.0,3935,3437.090788
1130.0,6655,3454.423768
640.0,4769,3459.169688
210.0,2249,3461.354915
605.0,3559,3464.906048
780.0,5053,3469.992983
725.0,3265,3473.218836
480.0,2961,3476.231755
670.0,4173,3480.325474
695.0,3633,3483.890892
600.0,3857,3487.66282
745.0,3265,3490.90939
460.0,3523,3494.417335
445.0,3487,3497.823884
685.0,2945,3500.792894
740.0,3880,3504.604074
670.0,3585,3508.096751
510.0,3763,3511.796065
365.0,3207,3515.294846
460.0,3955,3519.207798
470.0,3745,3523.017499
685.0,3033,3526.006675
440.0,3409,3529.394281
450.0,3501,3533.004709
435.0,3580,3536.753842
535.0,3491,3540.114144
530.0,3305,3543.356785
500.0,3577,3546.893042
575.0,4298,3561.249021
525.0,3501,3564.616144
770.0,3823,3568.360121
540.0,4046,3572.522619
750.0,3443,3576.029223
435.0,2839,3578.757294
655.0,3397,3582.024633
555.0,3073,3585.02896
970.0,4561,3589.36902
545.0,3699,3592.935796
575.0,4229,3596.952066
260.0,2307,3599.125203
800.0,4231,3603.211703
690.0,5459,3608.489396
605.0,4155,3612.523369
770.0,4736,3617.099829
465.0,3967,3620.939469
675.0,3489,3624.378764
545.0,4165,3628.316208
845.0,6509,3634.635083
545.0,3557,3638.193507
415.0,3448,3641.494385
545.0,3221,3644.652402
395.0,3012,3647.525636
515.0,3691,3651.065455
740.0,3322,3654.272771
545.0,3912,3668.846715
450.0,3675,3672.369029
165.0,2087,3674.37669
315.0,2513,3676.72257
570.0,3944,3680.426478
515.0,3859,3684.169267
575.0,3997,3687.926804
505.0,3205,3690.997095
775.0,4284,3695.178583
880.0,5921,3700.953107
540.0,4549,3705.342233
455.0,3135,3708.274915
540.0,3909,3711.950058
685.0,3473,3715.328692
660.0,3751,3718.855627
545.0,3989,3722.716746
600.0,4359,3726.963762
365.0,2835,3729.646474
515.0,4131,3733.580437
500.0,3121,3736.565732
405.0,2913,3739.364172
540.0,3401,3742.655507
515.0,3285,3745.802832
515.0,3722,3749.33389
515.0,2427,3751.66766
600.0,4341,3755.990146
600.0,4165,3760.014332
515.0,4161,3764.025461
485.0,3555,3780.243599
540.0,3529,3783.636178
675.0,3777,3787.345865
745.0,3514,3790.697906
335.0,2149,3792.758437
215.0,2055,3794.768879
580.0,3927,3798.570401
800.0,4769,3803.120293
600.0,3329,3806.266878
575.0,3819,3809.945348
550.0,4248,3814.048285
495.0,2477,3816.54548
775.0,4119,3820.51736
540.0,3843,3824.325149
775.0,4482,3828.574659
660.0,3309,3831.803659
770.0,3911,3835.559425
525.0,3275,3838.72367
690.0,3767,3842.303122
515.0,4095,3846.31857
475.0,4013,3850.200864
520.0,3729,3853.795696
335.0,2573,3856.307093
695.0,3691,3859.809265
545.0,3671,3863.322347
745.0,3573,3866.764702
350.0,2693,3869.38445
570.0,3393,3872.629493
800.0,4081,3886.689422
1000.0,6979,3893.464617
1025.0,6121,3899.329548
1210.0,6267,3905.476031
445.0,3637,3908.943058
800.0,3689,3912.45341
495.0,4497,3916.716514
605.0,4651,3921.208779
800.0,3653,3924.699819
1400.0,8802,3933.156648
465.0,3517,3936.627837
515.0,3777,3940.321307
240.0,1829,3942.036331
670.0,5285,3947.147508
555.0,4172,3951.11345
435.0,3777,3954.739337
600.0,3839,3958.327924
665.0,4401,3962.61917
570.0,3337,3965.844808
455.0,3313,3968.974111
920.0,6403,3975.122401
570.0,3351,3978.319668
145.0,1945,3980.172768
520.0,4553,3998.935262
800.0,5205,4004.002893
410.0,3847,4007.783025
525.0,3542,4011.1623
525.0,3557,4014.596101
320.0,2751,4017.270847
800.0,3569,4020.773939
770.0,5372,4026.055287
515.0,4553,4030.470628
495.0,3185,4033.601967
550.0,4956,4038.321607
5.0,1559,4039.851079
545.0,3778,4043.522488
745.0,3905,4047.372604
570.0,3230,4050.488278
715.0,3477,4054.038004
1015.0,6853,4061.293968
435.0,4207,4065.672329
400.0,3899,4069.647701
930.0,5395,4075.162838
520.0,4411,4079.594618
540.0,3611,4083.198455
510.0,4063,4087.40465
800.0,4183,4091.652083
1130.0,4335,4096.251845
620.0,4259,4119.650476
775.0,4062,4123.941073
780.0,4610,4128.741009
740.0,3948,4133.1628
600.0,3933,4137.263955
600.0,4427,4141.809396
715.0,4099,4146.430498
265.0,2689,4149.284403
575.0,5005,4154.556168
575.0,3997,4158.765032
570.0,4325,4163.334985
945.0,3761,4167.345741
710.0,3813,4171.284428
780.0,5365,4177.335207
805.0,5435,4183.09287
545.0,3046,4186.377063
575.0,4810,4191.421027
545.0,4385,4196.184875
575.0,4259,4200.677412
800.0,4293,4205.363974
1020.0,6934,4212.745158
195.0,1919,4214.766535
105.0,1701,4216.588943
700.0,3169,4219.907292
